TeamID,Qnt,Task,UserID,Changes
1,2,1,1,5
1,2,1,2,15
1,2,2,1,1
1,2,2,2,8
1,2,3,1,5
1,2,3,2,32
2,3,1,1,1
2,3,1,2,3
2,3,1,3,9
2,3,2,1,1
2,3,2,2,2
2,3,2,3,4
2,3,3,1,14
2,3,3,2,14
2,3,3,3,9
3,4,1,1,1
3,4,1,2,3
3,4,1,3,5
3,4,1,4,4
3,4,2,1,2
3,4,2,2,1
3,4,2,3,1
3,4,2,4,3
3,4,3,1,13
3,4,3,2,18
3,4,3,3,7
3,4,3,4,4
3,4,4,1,15
3,4,4,2,9
3,4,4,3,11
3,4,4,4,20
4,2,1,1,0
4,2,1,2,2
4,2,2,1,0
4,2,2,2,3
4,2,3,1,0
4,2,3,2,19
4,2,4,1,30
4,2,4,2,21
5,2,1,1,1
5,2,1,2,2
5,2,2,1,6
5,2,2,2,4
5,2,3,1,24
5,2,3,2,17
5,2,4,1,29
5,2,4,2,17
6,2,1,1,8
6,2,1,2,3
6,2,2,1,9
6,2,2,2,3
6,2,3,1,15
6,2,3,2,15
6,2,4,1,38
6,2,4,2,11
7,1,1,1,10
7,1,2,1,10
7,1,3,1,21
7,1,4,1,21
8,1,1,1,16
8,1,2,1,6
8,1,3,1,24
8,1,4,1,23
9,3,1,1,1
9,3,1,2,2
9,3,1,3,7
9,3,2,1,1
9,3,2,2,1
9,3,2,3,1
9,3,3,1,34
9,3,3,2,8
9,3,3,3,19
9,3,4,1,18
9,3,4,2,12
9,3,4,3,9
10,3,1,1,1
10,3,1,2,6
10,3,1,3,4
10,3,2,1,6
10,3,2,2,1
10,3,2,3,9
10,3,3,1,18
10,3,3,2,4
10,3,3,3,14
10,3,4,1,8
10,3,4,2,1
10,3,4,3,9
11,2,1,1,1
11,2,1,2,0
11,2,2,1,3
11,2,2,2,0
11,2,3,1,19
11,2,3,2,0
11,2,4,1,24
11,2,4,2,0
12,4,1,1,1
12,4,1,2,6
12,4,1,3,4
12,4,1,4,4
12,4,2,1,1
12,4,2,2,2
12,4,2,3,2
12,4,2,4,3
12,4,3,1,7
12,4,3,2,4
12,4,3,3,2
12,4,3,4,8
12,4,4,1,1
12,4,4,2,3
12,4,4,3,6
12,4,4,4,10
13,2,1,1,14
13,2,1,2,10
13,2,2,1,6
13,2,2,2,3
13,2,3,1,19
13,2,3,2,14
13,2,4,1,14
13,2,4,2,9
14,1,1,1,6
14,1,2,1,10
14,1,3,1,32
14,1,4,1,21
15,3,1,1,2
15,3,1,2,7
15,3,1,3,1
15,3,2,1,3
15,3,2,2,3
15,3,2,3,1
15,3,3,1,9
15,3,3,2,11
15,3,3,3,5
15,3,4,1,8
15,3,4,2,12
15,3,4,3,5
16,3,1,1,3
16,3,1,2,1
16,3,1,3,1
16,3,2,1,3
16,3,2,2,1
16,3,2,3,2
16,3,3,1,15
16,3,3,2,7
16,3,3,3,9
16,3,4,1,12
16,3,4,2,3
16,3,4,3,19
17,3,1,1,3
17,3,1,2,1
17,3,1,3,2
17,3,2,1,5
17,3,2,2,1
17,3,2,3,3
17,3,3,1,20
17,3,3,2,1
17,3,3,3,20
17,3,4,1,21
17,3,4,2,1
17,3,4,3,17
18,3,1,1,3
18,3,1,2,1
18,3,1,3,2
18,3,2,1,6
18,3,2,2,15
18,3,2,3,6
18,3,3,1,7
18,3,3,2,1
18,3,3,3,10
18,3,4,1,7
18,3,4,2,3
18,3,4,3,9
19,4,1,1,2
19,4,1,2,6
19,4,1,3,1
19,4,1,4,5
19,4,2,1,4
19,4,2,2,4
19,4,2,3,2
19,4,2,4,1
19,4,3,1,11
19,4,3,2,17
19,4,3,3,3
19,4,3,4,14
19,4,4,1,23
19,4,4,2,22
19,4,4,3,9
19,4,4,4,7
20,4,1,1,3
20,4,1,2,22
20,4,1,3,6
20,4,1,4,1
20,4,2,1,5
20,4,2,2,8
20,4,2,3,2
20,4,2,4,1
20,4,3,1,15
20,4,3,2,3
20,4,3,3,4
20,4,3,4,1
20,4,4,1,10
20,4,4,2,1
20,4,4,3,1
20,4,4,4,1
21,1,1,1,10
21,1,2,1,12
21,1,3,1,49
21,1,4,1,45
22,2,1,1,8
22,2,1,2,3
22,2,2,1,8
22,2,2,2,3
22,2,3,1,41
22,2,3,2,11
22,2,4,1,37
22,2,4,2,19
23,1,1,1,7
23,1,2,1,9
23,1,3,1,19
23,1,4,1,33
23,1,1,1,1
25,4,1,2,1
25,4,1,3,1
25,4,1,4,0
25,4,2,1,1
25,4,2,2,1
25,4,2,3,3
25,4,2,4,1
25,4,3,1,7
25,4,3,2,3
25,4,3,3,3
25,4,3,4,4
25,4,4,1,1
25,4,4,2,5
25,4,4,3,4
25,4,4,4,1
