,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,taskTotalLoad
1,0.1800246609,0,0.0431565968,0.085080148,0.1035758323,0.0258939581,0.1294697904,0.1491985203,0.5827160494
2,0,0,0,0,0.2392947103,0,0.2241813602,0,0.4646464646
3,0.2197802198,0.0073260073,0,0,0.4029304029,0,0.1721611722,0,0.6801470588
4,0.4133738602,0,0.1367781155,0,0.1124620061,0,0.0395136778,0.085106383,0.6615853659
5,0.3197674419,0,0,0,0,0,0,0,0.3206997085
6,0.0692567568,0.3006756757,0.0076013514,0.1157094595,0.2423986486,0,0.0878378378,0,0.6213017751
7,0.3985915493,0.0014084507,0.0901408451,0,0.0197183099,0,0.0056338028,0.1267605634,0.5853314528
,,,,,,,,,
1,0.2798434442,0,0,0,0.1585127202,0.1526418787,0.0547945205,0.0587084149,0.6176470588
2,0,0,0,0,0.194092827,0.3037974684,0.0886075949,0,0.5856236786
3,0.3605015674,0.078369906,0,0,0.4326018809,0,0.1191222571,0,0.751572327
4,0.2068965517,0.1827586207,0.0655172414,0.1344827586,0.3068965517,0,0,0.1517241379,0.6712802768
5,0.3682432432,0,0.0168918919,0,0,0,0,0,0.385786802
6,0.009118541,0.2857142857,0.0121580547,0.1945288754,0.4285714286,0,0.1155015198,0,0.737804878
7,0.3111432706,0.0680173661,0.0376266281,0,0.0607814761,0.1085383502,0,0.1157742402,0.6260869565
,,,,,,,,,
1,0.2835477941,0,0.0344669118,0,0.2049632353,0.0891544118,0.0363051471,0.0680147059,0.5875862069
2,0,0,0,0,0.349271137,0.0705539359,0.0472303207,0,0.4609101517
3,0.3266475645,0.2613180516,0,0.0257879656,0.2097421203,0,0.0687679083,0.0217765043,0.7024082569
4,0.2106782107,0.1349206349,0.0505050505,0.0324675325,0.2806637807,0,0.0245310245,0.0974025974,0.6664259928
5,0.288433908,0.0398706897,0.0154454023,0.0334051724,0,0,0,0,0.3758533956
6,0.02933213,0.4629963899,0.0130866426,0.0983754513,0.2157039711,0.047833935,0.0171480144,0.0076714801,0.739503386
7,0.2589240825,0.0834590246,0.0739064857,0.0276520865,0.0422322775,0,0.0231271996,0.0527903469,0.4989939638
,,,,,,,,,
1,0.3255813953,0.2275747508,0.0387596899,0.0177187154,0.2641196013,0.0603543743,0.0415282392,0.0276854928,0.7606648199
2,0.2312113174,0.2462422635,0.0154730327,0,0.117152962,0.0685234306,0.041556145,0.0053050398,0.6068111455
3,0.2054794521,0.1857876712,0.0787671233,0.0239726027,0.2046232877,0.0205479452,0,0.1378424658,0.6435304199
4,0.1920649234,0.0991884581,0.0243462579,0.0563570784,0,0,0,0,0.3572395129
5,0.0439759036,0.4361445783,0.0379518072,0.1024096386,0.2674698795,0.0114457831,0.0307228916,0,0.7215189873
6,0.291084855,0.0762620838,0.0515574651,0.0912996778,0.0263157895,0.0622986037,0.0209452202,0.0730397422,0.6034390113
