,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,
1,0.3093220339,0,0.0741525424,0.1461864407,0.1779661017,0.0444915254,0.2224576271,0.2563559322,X
2,0,0,0,0,0.5163043478,0,0.4836956522,0,X
3,0.3243243243,0.0108108108,0,0,0.5945945946,0,0.2540540541,0,
4,0.6267281106,0,0.2073732719,0,0.1705069124,0,0.0599078341,0.1290322581,
5,1,0,0,0,0,0,0,0,X
6,0.1115646259,0.4843537415,0.012244898,0.1863945578,0.3904761905,0,0.1414965986,0,
7,0.6819277108,0.0024096386,0.1542168675,0,0.0337349398,0,0.0096385542,0.2168674699,
,,,,,,,,,
,,,,,,,,,
1,0.453968254,0,0,0,0.2571428571,0.2476190476,0.0888888889,0.0952380952,X
2,0,0,0,0,0.3321299639,0.5198555957,0.1516245487,0,X
3,0.4811715481,0.1046025105,0,0,0.5774058577,0,0.1589958159,0,
4,0.3092783505,0.2731958763,0.0979381443,0.2010309278,0.4587628866,0,0,0.2268041237,
5,0.9561403509,0,0.0438596491,0,0,0,0,0,X
6,0.0123966942,0.3884297521,0.0165289256,0.2644628099,0.5826446281,0,0.1570247934,0,
7,0.4976851852,0.1087962963,0.0601851852,0,0.0972222222,0.1736111111,0,0.1851851852,
,,,,,,,,,
,,,,,,,,,
1,0.4827856025,0,0.058685446,0,0.3489827856,0.151799687,0.0618153365,0.1158059468,X
2,0,0,0,0,0.7582278481,0.153164557,0.1025316456,0,X
3,0.4653061224,0.372244898,0,0.0367346939,0.2987755102,0,0.0979591837,0.0310204082,
4,0.3163596966,0.2026002167,0.0758396533,0.0487540628,0.4214517876,0,0.036836403,0.1462621885,
5,0.7676864245,0.1061185468,0.0411089866,0.0889101338,0,0,0,0,X
6,0.0396825397,0.6263736264,0.0177045177,0.1330891331,0.2918192918,0.0647130647,0.0231990232,0.0103785104,
7,0.5191532258,0.1673387097,0.1481854839,0.0554435484,0.0846774194,0,0.0463709677,0.1058467742,
,,,,,,,,,
,,,,,,,,,
1,0.4282592862,0.2993445011,0.0509832484,0.0233066278,0.347414421,0.079388201,0.054624909,0.036416606,X
2,0.3811953353,0.4059766764,0.0255102041,0,0.193148688,0.1129737609,0.0685131195,0.0087463557,
3,0.3195739015,0.2889480692,0.1225033289,0.0372836218,0.3182423435,0.0319573901,0,0.2143808256,
4,0.5378787879,0.2777777778,0.0681818182,0.1578282828,0,0,0,0,X
5,0.0609857978,0.604845447,0.0526315789,0.142021721,0.3709273183,0.0158730159,0.0426065163,0,
6,0.482635797,0.1264470169,0.0854853072,0.1513802315,0.0436331256,0.1032947462,0.0347284061,0.1211041852,
