,U1totalTrans,U1totalRot,U1totalScale,U1totalCam,allUsersTotalTrans,allUsersTotalRot,allUsersTotalScale,allUsersTotalCam
1,1,1,1,1,1,1,1,1
2,1.0018050542,1,1,1,1.0018050542,1,1,1
3,1,0,1,1,1,0,1,1
4,1.0039840637,0,1,1,1.0039840637,0,1,1
5,1,1,1,0,1,1,1,0
,,,,,,,,
1,1.0058479532,1,1,1,1.0058479532,1,1,1
2,1.0052083333,1,1,0,1.0052083333,1,1,0
3,1,1,1.0303030303,1,1,1,1.0303030303,1
4,1,1,1,1,1,1,1,1
5,1,1,1,0,1,1,1,0
,,,,,,,,
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1.0017574692,1,1,1,1.0017574692,1,1,1
,,,,,,,,
1,1.0020661157,1,1,1,1.0020661157,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,0,1,1,1,0
