Action,Answer
Translation,4
Translation,4
Translation,2
Translation,4
Translation,5
Translation,5
Translation,5
Translation,5
Translation,4
Translation,3
Translation,5
Translation,5
Translation,5
Translation,5
Translation,5
Translation,3
Translation,4
Translation,5
Translation,4
Translation,5
Translation,4
Translation,4
Translation,4
Translation,4
Translation,4
Translation,5
Translation,4
Translation,3
Translation,4
Translation,5
Translation,5
Translation,5
Translation,3
Translation,3
Translation,4
Translation,5
Translation,5
Translation,5
Translation,4
Translation,5
Translation,4
Translation,4
Translation,5
Translation,4
Translation,4
Translation,4
Translation,4
Translation,5
Translation,4
Translation,5
Translation,4
Rotation,4
Rotation,5
Rotation,3
Rotation,4
Rotation,3
Rotation,4
Rotation,2
Rotation,3
Rotation,2
Rotation,3
Rotation,4
Rotation,5
Rotation,4
Rotation,3
Rotation,4
Rotation,3
Rotation,4
Rotation,2
Rotation,4
Rotation,3
Rotation,3
Rotation,3
Rotation,1
Rotation,4
Rotation,4
Rotation,4
Rotation,4
Rotation,4
Rotation,2
Rotation,5
Rotation,4
Rotation,2
Rotation,3
Rotation,4
Rotation,4
Rotation,3
Rotation,4
Rotation,5
Rotation,5
Rotation,2
Rotation,4
Rotation,3
Rotation,3
Rotation,2
Rotation,3
Rotation,4
Rotation,2
Rotation,3
Rotation,3
Rotation,3
Rotation,3
Scale,5
Scale,5
Scale,5
Scale,4
Scale,5
Scale,5
Scale,5
Scale,5
Scale,4
Scale,5
Scale,5
Scale,5
Scale,5
Scale,5
Scale,4
Scale,5
Scale,5
Scale,5
Scale,5
Scale,5
Scale,3
Scale,5
Scale,5
Scale,5
Scale,4
Scale,5
Scale,4
Scale,5
Scale,4
Scale,5
Scale,5
Scale,5
Scale,5
Scale,5
Scale,4
Scale,5
Scale,5
Scale,5
Scale,5
Scale,5
Scale,5
Scale,5
Scale,2
Scale,3
Scale,5
Scale,4
Scale,5
Scale,5
Scale,4
Scale,5
Scale,4
Camera,5
Camera,5
Camera,2
Camera,4
Camera,4
Camera,5
Camera,2
Camera,4
Camera,2
Camera,3
Camera,4
Camera,5
Camera,4
Camera,2
Camera,5
Camera,3
Camera,5
Camera,2
Camera,4
Camera,3
Camera,3
Camera,3
Camera,1
Camera,5
Camera,4
Camera,4
Camera,3
Camera,3
Camera,2
Camera,5
Camera,4
Camera,3
Camera,3
Camera,4
Camera,4
Camera,3
Camera,3
Camera,5
Camera,5
Camera,2
Camera,4
Camera,3
Camera,3
Camera,3
Camera,3
Camera,4
Camera,2
Camera,3
Camera,3
Camera,1
Camera,3
