Members/Task	Time task 3	Time task 4	Error task 3	Error task 4
1	44.506	56.699	7.861463	9.24831
1	129.5357	88.6565	5.6191285	3.876767
1	130.7602	63.4430000000002	6.004525	5.216207
1	281.5956	225.2061	2.6607275	2.895181
1	105.6555	139.6341	7.370132	6.931314
2	86.013	90.59442	2.260774	2.7677025
2	87.2619	113.11968	4.4206545	3.7956655
2	69.3649	58.4197	5.324064	3.984116
2	139.3775	111.0404	5.078261	2.5421635
2	109.5334	83.165	5.1020385	6.0863765
2	99.4809	93.1132	4.205052	4.758173
3	127.2309	82.5638	2.711916	3.1814145
3	120.6714	91.1117	4.0901055	3.3969195
3	76.8215	55.2902	4.4244435	4.7671835
3	86.8132	61.2443	3.2695245	4.584655
3	283.4138	192.724	1.681474	2.6851765
3	41.2966	38.1163	4.419264	4.1312975
4	162.962	87.06737	2.509332	1.9781635
4	74.4534	71.80547	2.8542355	1.9118085
4	56.4048	63.9076	2.3445545	2.7843005
4	127.1752	60.7675	1.736374	1.8535285
4	212.14	113.401	2.5047495	1.6416445
