VALUE,TASK,MEMBERS
44.601,T1,1
86.2698,T1,1
37.2235,T1,1
71.4288,T1,1
32.6565,T1,1
27.73,T2,1
26.6007,T2,1
32.5,T2,1
55.8885,T2,1
41.4964,T2,1
44.506,T3,1
129.5357,T3,1
130.7602,T3,1
281.5956,T3,1
105.6555,T3,1
56.699,T4,1
88.6565,T4,1
63.443,T4,1
225.2061,T4,1
139.6341,T4,1
23.7583,T2,2
15.9533,T2,2
14.4999,T2,2
29.6276,T2,2
16.4841,T2,2
34.55538,T2,2
19.921,T1,2
13.6498,T1,2
16.4503,T1,2
17.2095,T1,2
59.3345,T1,2
35.49839,T1,2
86.013,T3,2
87.2619,T3,2
69.3649,T3,2
139.3775,T3,2
109.5334,T3,2
99.4809,T3,2
90.59442,T4,2
113.11968,T4,2
58.4197,T4,2
111.0404,T4,2
83.165,T4,2
93.1132,T4,2
127.2309,T3,3
120.6714,T3,3
76.8215,T3,3
86.8132,T3,3
283.4138,T3,3
41.2966,T3,3
58.66863,T1,3
29.0093,T1,3
36.213,T1,3
21.4411,T1,3
20.20286,T1,3
24.4088,T1,3
16.3988,T2,3
49.1603,T2,3
22.4135,T2,3
17.1868,T2,3
25.701,T2,3
42.2601,T2,3
82.5638,T4,3
91.1117,T4,3
55.2902,T4,3
61.2443,T4,3
192.724,T4,3
38.1163,T4,3
87.06737,T4,4
71.80547,T4,4
63.9076,T4,4
60.7675,T4,4
162.962,T3,4
74.4534,T3,4
56.4048,T3,4
127.1752,T3,4
21.408,T2,4
16.251,T2,4
16.95763,T2,4
37.1223,T2,4
47.198,T1,4
22.00295,T1,4
21.09751,T1,4
54.20073,T1,4
