,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,,,
1,0.5310621242,0,0,0,0.0220440882,0.0200400802,0,0.1162324649,0.1162324649,0.0961923848,0.0941883768,0.3006012024,0.5310621242,0.1583166333,0.6072144289
2,0.7726638773,0.0013947001,0,0,0.0292887029,0.0013947001,0,0.2092050209,0.1478382148,0.0013947001,0.0878661088,0,0.7740585774,0.239888424,0.2370990237
3,0.4784810127,0,0,0.0025316456,0.2379746835,0,0.0911392405,0.2734177215,0.1493670886,0,0.1037974684,0,0.4810126582,0.6025316456,0.253164557
4,0.0918032787,0,0.1081967213,0,0.0754098361,0.0918032787,0.0491803279,0.0491803279,0.7114754098,0,0.006557377,0,0.2,0.2655737705,0.7180327869
5,0.2643312102,0,0.127388535,0.0031847134,0.2579617834,0,0,0,0.6942675159,0.0031847134,0,0.0031847134,0.3949044586,0.2579617834,0.7006369427
6,0.0118577075,0.0039525692,0.185770751,0.0434782609,0.814229249,0,0,0,0,0.0197628458,0,0.0948616601,0.2450592885,0.814229249,0.1146245059
7,0.4270557029,0,0,0.0610079576,0.774535809,0,0,0,0,0,0.1220159151,0.0212201592,0.4880636605,0.774535809,0.1432360743
,,,,,,,,,,,,,,,
1,0.6621315193,0,0,0,0.0022675737,0.0861678005,0,0.1088435374,0.2698412698,0.0022675737,0.1496598639,0.1655328798,0.6621315193,0.1972789116,0.5873015873
2,0.7178423237,0.0041493776,0,0,0,0.5809128631,0,0,0.0663900415,0,0.112033195,0,0.7219917012,0.5809128631,0.1784232365
3,0.3114754098,0,0.2003642987,0,0,0,0,0.2659380692,0.3096539162,0.1675774135,0,0.0637522769,0.5118397086,0.2659380692,0.5409836066
4,0.0852017937,0.0896860987,0.067264574,0,0.1031390135,0.0717488789,0,0.1210762332,0.6457399103,0,0.0134529148,0,0.2421524664,0.2959641256,0.6591928251
5,0.3202846975,0.0035587189,0.1138790036,0,0.2669039146,0,0,0,0.4519572954,0.1992882562,0,0,0.4377224199,0.2669039146,0.6512455516
6,0.0030959752,0,0.1826625387,0.0650154799,0.7399380805,0,0,0,0,0.2291021672,0,0.0247678019,0.2507739938,0.7399380805,0.253869969
7,0.2009966777,0,0.011627907,0.2541528239,0.5465116279,0,0.0265780731,0.1445182724,0.0514950166,0.1046511628,0.0747508306,0.0066445183,0.4667774086,0.7176079734,0.2375415282
,,,,,,,,,,,,,,,
1,0.4086206897,0.1086206897,0,0.0672413793,0.0913793103,0.0431034483,0.0181034483,0.2948275862,0.1413793103,0,0.0232758621,0.1879310345,0.5844827586,0.4474137931,0.3525862069
2,0.4107038976,0.0238510762,0.0942408377,0.15008726,0,0.304246655,0.0157068063,0.0826061664,0.0558464223,0.1035485748,0.0296684119,0.0756253636,0.6788830716,0.4025596277,0.2646887725
3,0.4808110065,0.0832729906,0.1057204924,0.018826937,0.000724113,0.0144822592,0.018102824,0.2599565532,0.1028240406,0.0832729906,0.0159304852,0.1180304127,0.6886314265,0.2932657495,0.320057929
4,0.0301274623,0.315179606,0.0185399768,0,0.1645422943,0,0.1216685979,0.0150637312,0.5225955968,0,0.0243337196,0,0.3638470452,0.3012746234,0.5469293163
5,0.0691983122,0.2725738397,0.1198312236,0.0396624473,0.2784810127,0,0.0109704641,0.0345991561,0.352742616,0,0.0151898734,0.1510548523,0.5012658228,0.3240506329,0.5189873418
6,0.0132969656,0.0003409478,0.103307194,0.2921922946,0.4616433686,0,0,0,0.0037504262,0.2509376065,0.0075008524,0.0593249233,0.409137402,0.4616433686,0.3215138084
7,0.3391442155,0.0015847861,0.0633914422,0.0618066561,0.6973058637,0.0031695721,0,0,0.1299524564,0.1045958796,0.0713153724,0,0.4659270998,0.7004754358,0.3058637084
,,,,,,,,,,,,,,,
1,0.5638297872,0.0222437137,0.0290135397,0.1247582205,0.0560928433,0.1769825919,0.0473887814,0.0705996132,0.1063829787,0,0.082205029,0,0.7398452611,0.3510638298,0.1885880077
2,0.253214639,0.0009891197,0.331355094,0,0,0,0,0.3837784372,0.0801186944,0.0929772502,0,0.059347181,0.5855588526,0.3837784372,0.2324431256
3,0.1747088186,0.0981697171,0.0615640599,0,0.1663893511,0.0332778702,0.1414309484,0.1064891847,0.3494176373,0,0.081530782,0,0.3344425957,0.4475873544,0.4309484193
4,0.1349206349,0.1177248677,0.1203703704,0.0171957672,0.2989417989,0,0.0092592593,0,0.2605820106,0.126984127,0.0185185185,0.2764550265,0.3902116402,0.3082010582,0.6825396825
5,0.008984726,0.0004492363,0.115902965,0.3288409704,0.4537286613,0.0004492363,0,0,0.0071877808,0.260557053,0,0.0489667565,0.4541778976,0.4541778976,0.3167115903
6,0.3305084746,0,0.0322033898,0.0915254237,0.7033898305,0.0389830508,0.0016949153,0,0.0847457627,0.0559322034,0.0677966102,0,0.4542372881,0.7440677966,0.2084745763
