Members;T1;T2;T3;T4;E1;E2;E3;E4;Mean T;Mean E
1;44.601;27.73;44.506;56.699;4.2803805;16.95301;9.070060125;8.529818625;43.384;9.708317313
1;86.2698;26.6007;129.5357;88.6565;3.86967;6.642847;7.381541125;5.70552475;82.765675;5.899895719
1;37.2235;32.5;224.7486;116.156;1.317529;9.220284;6.207668;5.08886925;102.657025;5.458587563
1;71.4288;55.8885;281.5956;225.2061;4.0249215;8.576299;3.3415055;3.299659;158.52975;4.81059625
1;32.6565;41.4964;192.7733;139.6341;4.4561235;9.002918;6.817599375;8.455383125;101.640075;7.183006
2;40.5645;25.5688;108.8574;108.8574;2.150934;7.16804;4.013610625;4.013610625;70.962025;4.336548813
2;19.921;23.7583;86.013;90.59442;1.923633;11.75348;3.251325575;3.595758;55.07168;5.131049144
2;13.6498;15.9533;87.2619;113.11968;3.004579;4.069859;4.849438875;4.512302825;57.49617;4.109044925
2;16.4503;14.4999;69.3649;58.4197;2.1928545;5.547572;6.0378925;4.339551;39.6837;4.5294675
2;17.2095;29.6276;139.3775;111.0404;2.5768675;8.645294;4.726371375;3.707838875;74.31375;4.914092938
2;59.3345;16.4841;203.9101;83.165;4.601643;8.891509;4.380987;5.540681;90.723425;5.853705
2;35.49839;34.55538;99.4809;93.1132;1.390942;4.142436;4.69978675;4.160006;65.6619675;3.598292688
3;41.7517;30.2577;132.7949;132.7949;2.619807;1.576296;3.1814095;3.1814095;84.3998;2.6397305
3;58.66863;16.3988;127.2309;82.5638;0.867342;3.243309;2.972291;3.701374375;71.2155325;2.696079094
3;29.0093;49.1603;120.6714;168.2333;2.35932;4.060901;3.9785115;3.0536295;91.768575;3.3630905
3;36.213;22.4135;137.0758;55.2902;2.2592535;3.317118;4.15080525;4.628315625;62.748125;3.588873094
3;21.4411;17.1868;86.8132;61.2443;1.300738;3.357939;3.179115575;4.247868863;46.67135;3.021415359
3;20.20286;25.701;283.4138;192.724;2.3293385;4.309965;2.652202538;2.95349675;130.510415;3.061250697
3;24.4088;42.2601;41.2966;38.1163;2.187007;8.903512;4.778646875;4.583976;36.52045;5.113285469
4;47.198;21.408;162.962;87.06737;1.554914;3.538198;2.38996525;2.11079225;79.6588425;2.398467375
4;22.00295;16.251;74.4534;71.80547;1.4022025;4.50141;3.33753925;2.288987888;46.128205;2.882534909
4;21.09751;16.95763;56.4048;63.9076;3.1454575;6.065219;3.023767;3.2575605;39.591885;3.873001
4;54.20073;37.1223;127.1752;79.6185;1.623129;2.768127;1.776180738;1.903549325;74.5291825;2.017746516
