1	9.24831					
1	5.619129					
1	3.876767					
1	6.004525					
1	5.216207					
1	2.660728					
1	2.895181					
1	7.370132					
1	6.931314					
2	2.260774					
2	2.767702					
2	4.420655					
2	3.795666					
2	5.324064					
2	3.984116					
2	5.078261					
2	2.542164					
2	5.102038					
2	6.086377					
2	4.205052					
2	4.758173					
3	2.711916					
3	3.181414					
3	4.090105					
3	3.39692					
3	4.424443					
3	4.767183					
3	3.269525					
3	4.584655					
3	1.681474					
3	2.685176					
3	4.419264					
3	4.131297					
4	2.509332					
4	1.978163					
4	2.854236					
4	1.911809					
4	2.344555					
4	2.784301					
4	1.736374					
4	1.853528					
4	2.504749					
4	1.641644					
						
						
						
						
